site_index,city_site,city,site,season,Long,Lat,CRS,rich_obs_site,K_days,Impervious,pd_undev,cropland,Kdays_std,imperv_std,pd_undev_std,cropland_std,rich_mean,rich_med,rich_sd,rich_2_5,rich_97_5,rich_5,rich_95,hill1_mean,hill1_med,hill1_sd,hill1_2_5,hill1_97_5,hill1_5,hill1_95,city_name,state_prov,survey_yr,rich_known_reg,rich_obs_reg,x_cent,y_cent,EVI_av,mat_av,urb_reg,date_col,date_col_n,yrs_col,EVI_av_std,mat_av_std,urb_reg_std,yrs_col_std,,,,,,,,,,,,,,,,,,,,,,,,
25,atga_RZ,atga,RZ,JU19,1060683.895,1295380.864,AEA_Custom_NLCD2016,4,31,6.154574132,3.819344982,0.106559725,0.417726115,-1.058665588,-1.333697174,1.330647904,4.8264,5,0.74385373,4,6,4,6,6.285281269,6.257777882,0.487684494,5.426900418,7.323119998,5.550547995,7.135038029,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
26,atga_SGB,atga,SGB,JU19,1063124.069,1285445.973,AEA_Custom_NLCD2016,5,31,28.78968481,8.294254634,0.010910135,0.417726115,0.99132284,0.376207698,-0.360386094,5.8472,6,0.706046748,5,7,5,7,7.189481842,7.170435585,0.421089931,6.414289101,8.078340256,6.528342626,7.91260583,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
27,atga_TES,atga,TES,JU19,1058723.367,1281610.792,AEA_Custom_NLCD2016,3,30,24.05480631,10.5031987,0.004296763,-0.319437617,0.562500279,1.220265907,-0.477306999,4.6325,5,0.983331299,3,7,3,6,7.272783558,7.240874159,0.457047278,6.464889293,8.258544679,6.573512181,8.073610403,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
28,atga_TV,atga,TV,JU19,1066251.392,1267383.2,AEA_Custom_NLCD2016,0,31,17.64843974,10.49718485,0.003149155,0.417726115,-0.017703526,1.217967956,-0.497596093,3.4522,3,1.287664929,1,6,1,6,7.141705983,7.111577718,0.4593349,6.320829508,8.130893359,6.443287714,7.951218474,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
29,atga_VHTC,atga,VHTC,JU19,1062015.872,1297918.055,AEA_Custom_NLCD2016,3,31,1.899053628,2.234351559,0.171502442,0.417726115,-1.444074253,-1.939338,2.478800676,4.5542,5,0.90362825,3,6,3,6,6.104283735,6.04838393,0.617274788,5.056804074,7.460065311,5.19386656,7.193960064,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
30,atga_WN,atga,WN,JU19,1063196.795,1292030.754,AEA_Custom_NLCD2016,2,31,4.831708716,3.499061615,0.075293444,0.417726115,-1.17847321,-1.456080448,0.777876647,3.9828,4,1.043078598,2,6,2,6,6.401304528,6.371280982,0.517323718,5.487150267,7.506928158,5.624936599,7.300864169,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
31,autx_AUTX-C03-MON,autx,AUTX-C03-MON,JU18,-162465.5378,796524.7504,AEA_Custom_NLCD2016,7,35,39.16528215,4.454626448,0.02233677,0.82333911,-0.269495305,0.377694125,0.185157419,7.7029,8,0.610957377,7,9,7,9,7.506061,7.491406284,0.578352074,6.418637779,8.67612089,6.583704255,8.471092972,Austin,TX,2018,21,9,-167455.5366,799018.275,0.270699579,19.96934785,0.631882001,1835,,183,0.607798781,1.509053387,0.46781768,-0.258841159,,,,,,,,,,,,,,,,,,,,,,,,
32,autx_AUTX-H02-BLU,autx,AUTX-H02-BLU,JU18,-167965.8938,796767.045,AEA_Custom_NLCD2016,4,28,50.2547953,2.233709873,0,-0.018502002,0.391121151,-0.483256822,-0.716349154,4.7141,5,0.776930854,4,6,4,6,6.789624089,6.781714891,0.674416982,5.518674949,8.170808036,5.70050577,7.910963577,Austin,TX,2018,21,9,-167455.5366,799018.275,0.270699579,19.96934785,0.631882001,1835,,183,0.607798781,1.509053387,0.46781768,-0.258841159,,,,,,,,,,,,,,,,,,,,,,,,
33,autx_AUTX-WL4-UTA,autx,AUTX-WL4-UTA,JU18,-166585.9576,802377.2033,AEA_Custom_NLCD2016,1,14,71.31462926,7.33933244,0.032739805,-1.702184227,1.645682347,1.495966817,0.605021369,2.5718,2,1.071615414,1,5,1,4,5.633972111,5.589151924,0.905120283,4.000661834,7.534891311,4.247812591,7.18223389,Austin,TX,2018,21,9,-167455.5366,799018.275,0.270699579,19.96934785,0.631882001,1835,,183,0.607798781,1.509053387,0.46781768,-0.258841159,,,,,,,,,,,,,,,,,,,,,,,,
34,autx_AUTX-WL8-WRI,autx,AUTX-WL8-WRI,JU18,-165685.3986,805728.577,AEA_Custom_NLCD2016,3,35,44.93633496,0,0,0.82333911,0.074293678,-1.349167164,-0.716349154,4.3157,4,0.96100253,3,6,3,6,6.890463677,6.883451072,0.71360191,5.562062512,8.359989,5.750806031,8.098674769,Austin,TX,2018,21,9,-167455.5366,799018.275,0.270699579,19.96934785,0.631882001,1835,,183,0.607798781,1.509053387,0.46781768,-0.258841159,,,,,,,,,,,,,,,,,,,,,,,,
